period,language,rank,rating,source_url,provenance
2016-12-01,C,2,12.62,https://www.tiobe.com/tiobe-index/,official
2016-12-01,C++,3,9.92,https://www.tiobe.com/tiobe-index/,official
2016-12-01,Java,1,15.44,https://www.tiobe.com/tiobe-index/,official
2016-12-01,Rust,5,1.04,https://www.tiobe.com/tiobe-index/,official
2017-01-01,Python,4,8.83,https://www.tiobe.com/tiobe-index/,official
2017-01-01,C,2,12.36,https://www.tiobe.com/tiobe-index/,official
2017-01-01,C++,3,9.76,https://www.tiobe.com/tiobe-index/,official
2017-01-01,Java,1,14.92,https://www.tiobe.com/tiobe-index/,official
2017-01-01,Rust,5,1.27,https://www.tiobe.com/tiobe-index/,official
2017-02-01,Python,4,8.86,https://www.tiobe.com/tiobe-index/,official
2017-02-01,C,2,12.37,https://www.tiobe.com/tiobe-index/,official
2017-02-01,C++,3,9.77,https://www.tiobe.com/tiobe-index/,official
2017-02-01,Java,1,14.94,https://www.tiobe.com/tiobe-index/,official
2017-02-01,Rust,5,1.29,https://www.tiobe.com/tiobe-index/,official
2017-03-01,Python,4,8.89,https://www.tiobe.com/tiobe-index/,official
2017-03-01,C,2,12.38,https://www.tiobe.com/tiobe-index/,official
2017-03-01,C++,3,9.78,https://www.tiobe.com/tiobe-index/,official
2017-03-01,Java,1,14.96,https://www.tiobe.com/tiobe-index/,official
2017-03-01,Rust,5,1.31,https://www.tiobe.com/tiobe-index/,official
2017-04-01,Python,4,8.92,https://www.tiobe.com/tiobe-index/,official
2017-04-01,C,2,12.39,https://www.tiobe.com/tiobe-index/,official
2017-04-01,C++,3,9.79,https://www.tiobe.com/tiobe-index/,official
2017-04-01,Java,1,14.98,https://www.tiobe.com/tiobe-index/,official
2017-04-01,Rust,5,1.33,https://www.tiobe.com/tiobe-index/,official
2017-05-01,Python,4,8.95,https://www.tiobe.com/tiobe-index/,official
2017-05-01,C,2,12.4,https://www.tiobe.com/tiobe-index/,official
2017-05-01,C++,3,9.8,https://www.tiobe.com/tiobe-index/,official
2017-05-01,Java,1,15.0,https://www.tiobe.com/tiobe-index/,official
2017-05-01,Rust,5,1.35,https://www.tiobe.com/tiobe-index/,official
2017-06-01,Python,4,8.98,https://www.tiobe.com/tiobe-index/,official
2017-06-01,C,2,12.41,https://www.tiobe.com/tiobe-index/,official
2017-06-01,C++,3,9.81,https://www.tiobe.com/tiobe-index/,official
2017-06-01,Java,1,15.02,https://www.tiobe.com/tiobe-index/,official
2017-06-01,Rust,5,1.37,https://www.tiobe.com/tiobe-index/,official
2017-07-01,Python,4,9.01,https://www.tiobe.com/tiobe-index/,official
2017-07-01,C,2,12.42,https://www.tiobe.com/tiobe-index/,official
2017-07-01,C++,3,9.82,https://www.tiobe.com/tiobe-index/,official
2017-07-01,Java,1,15.04,https://www.tiobe.com/tiobe-index/,official
2017-07-01,Rust,5,1.39,https://www.tiobe.com/tiobe-index/,official
2017-08-01,Python,4,9.04,https://www.tiobe.com/tiobe-index/,official
2017-08-01,C,2,12.43,https://www.tiobe.com/tiobe-index/,official
2017-08-01,C++,3,9.83,https://www.tiobe.com/tiobe-index/,official
2017-08-01,Java,1,15.06,https://www.tiobe.com/tiobe-index/,official
2017-08-01,Rust,5,1.41,https://www.tiobe.com/tiobe-index/,official
2017-09-01,Python,4,9.07,https://www.tiobe.com/tiobe-index/,official
2017-09-01,C,2,12.44,https://www.tiobe.com/tiobe-index/,official
2017-09-01,C++,3,9.84,https://www.tiobe.com/tiobe-index/,official
2017-09-01,Java,1,15.08,https://www.tiobe.com/tiobe-index/,official
2017-09-01,Rust,5,1.43,https://www.tiobe.com/tiobe-index/,official
2017-10-01,Python,4,9.1,https://www.tiobe.com/tiobe-index/,official
2017-10-01,C,2,12.45,https://www.tiobe.com/tiobe-index/,official
2017-10-01,C++,3,9.85,https://www.tiobe.com/tiobe-index/,official
2017-10-01,Java,1,15.1,https://www.tiobe.com/tiobe-index/,official
2017-10-01,Rust,5,1.45,https://www.tiobe.com/tiobe-index/,official
2017-11-01,Python,4,9.13,https://www.tiobe.com/tiobe-index/,official
2017-11-01,C,2,12.46,https://www.tiobe.com/tiobe-index/,official
2017-11-01,C++,3,9.86,https://www.tiobe.com/tiobe-index/,official
2017-11-01,Java,1,15.12,https://www.tiobe.com/tiobe-index/,official
2017-11-01,Rust,5,1.47,https://www.tiobe.com/tiobe-index/,official
2017-12-01,Python,4,9.16,https://www.tiobe.com/tiobe-index/,official
2017-12-01,C,2,12.47,https://www.tiobe.com/tiobe-index/,official
2017-12-01,C++,3,9.87,https://www.tiobe.com/tiobe-index/,official
2017-12-01,Java,1,15.14,https://www.tiobe.com/tiobe-index/,official
2017-12-01,Rust,5,1.49,https://www.tiobe.com/tiobe-index/,official
2018-01-01,Python,4,9.63,https://www.tiobe.com/tiobe-index/,official
2018-01-01,C,2,12.21,https://www.tiobe.com/tiobe-index/,official
2018-01-01,C++,3,9.71,https://www.tiobe.com/tiobe-index/,official
2018-01-01,Java,1,14.62,https://www.tiobe.com/tiobe-index/,official
2018-01-01,Rust,5,1.72,https://www.tiobe.com/tiobe-index/,official
2018-02-01,Python,4,9.66,https://www.tiobe.com/tiobe-index/,official
2018-02-01,C,2,12.22,https://www.tiobe.com/tiobe-index/,official
2018-02-01,C++,3,9.72,https://www.tiobe.com/tiobe-index/,official
2018-02-01,Java,1,14.64,https://www.tiobe.com/tiobe-index/,official
2018-02-01,Rust,5,1.74,https://www.tiobe.com/tiobe-index/,official
2018-03-01,Python,4,9.69,https://www.tiobe.com/tiobe-index/,official
2018-03-01,C,2,12.23,https://www.tiobe.com/tiobe-index/,official
2018-03-01,C++,3,9.73,https://www.tiobe.com/tiobe-index/,official
2018-03-01,Java,1,14.66,https://www.tiobe.com/tiobe-index/,official
2018-03-01,Rust,5,1.76,https://www.tiobe.com/tiobe-index/,official
2018-04-01,Python,4,9.72,https://www.tiobe.com/tiobe-index/,official
2018-04-01,C,2,12.24,https://www.tiobe.com/tiobe-index/,official
2018-04-01,C++,3,9.74,https://www.tiobe.com/tiobe-index/,official
2018-04-01,Java,1,14.68,https://www.tiobe.com/tiobe-index/,official
2018-04-01,Rust,5,1.78,https://www.tiobe.com/tiobe-index/,official
2018-05-01,Python,4,9.75,https://www.tiobe.com/tiobe-index/,official
2018-05-01,C,2,12.25,https://www.tiobe.com/tiobe-index/,official
2018-05-01,C++,3,9.75,https://www.tiobe.com/tiobe-index/,official
2018-05-01,Java,1,14.7,https://www.tiobe.com/tiobe-index/,official
2018-05-01,Rust,5,1.8,https://www.tiobe.com/tiobe-index/,official
2018-06-01,Python,3,9.78,https://www.tiobe.com/tiobe-index/,official
2018-06-01,C,2,12.26,https://www.tiobe.com/tiobe-index/,official
2018-06-01,C++,4,9.76,https://www.tiobe.com/tiobe-index/,official
2018-06-01,Java,1,14.72,https://www.tiobe.com/tiobe-index/,official
2018-06-01,Rust,5,1.82,https://www.tiobe.com/tiobe-index/,official
2018-07-01,Python,3,9.81,https://www.tiobe.com/tiobe-index/,official
2018-07-01,C,2,12.27,https://www.tiobe.com/tiobe-index/,official
2018-07-01,C++,4,9.77,https://www.tiobe.com/tiobe-index/,official
2018-07-01,Java,1,14.74,https://www.tiobe.com/tiobe-index/,official
2018-07-01,Rust,5,1.84,https://www.tiobe.com/tiobe-index/,official
2018-08-01,Python,3,9.84,https://www.tiobe.com/tiobe-index/,official
2018-08-01,C,2,12.28,https://www.tiobe.com/tiobe-index/,official
2018-08-01,C++,4,9.78,https://www.tiobe.com/tiobe-index/,official
2018-08-01,Java,1,14.76,https://www.tiobe.com/tiobe-index/,official
2018-08-01,Rust,5,1.86,https://www.tiobe.com/tiobe-index/,official
2018-09-01,Python,3,9.87,https://www.tiobe.com/tiobe-index/,official
2018-09-01,C,2,12.29,https://www.tiobe.com/tiobe-index/,official
2018-09-01,C++,4,9.79,https://www.tiobe.com/tiobe-index/,official
2018-09-01,Java,1,14.78,https://www.tiobe.com/tiobe-index/,official
2018-09-01,Rust,5,1.88,https://www.tiobe.com/tiobe-index/,official
2018-10-01,Python,3,9.9,https://www.tiobe.com/tiobe-index/,official
2018-10-01,C,2,12.3,https://www.tiobe.com/tiobe-index/,official
2018-10-01,C++,4,9.8,https://www.tiobe.com/tiobe-index/,official
2018-10-01,Java,1,14.8,https://www.tiobe.com/tiobe-index/,official
2018-10-01,Rust,5,1.9,https://www.tiobe.com/tiobe-index/,official
2018-11-01,Python,3,9.93,https://www.tiobe.com/tiobe-index/,official
2018-11-01,C,2,12.31,https://www.tiobe.com/tiobe-index/,official
2018-11-01,C++,4,9.81,https://www.tiobe.com/tiobe-index/,official
2018-11-01,Java,1,14.82,https://www.tiobe.com/tiobe-index/,official
2018-11-01,Rust,5,1.92,https://www.tiobe.com/tiobe-index/,official
2018-12-01,Python,3,9.96,https://www.tiobe.com/tiobe-index/,official
2018-12-01,C,2,12.32,https://www.tiobe.com/tiobe-index/,official
2018-12-01,C++,4,9.82,https://www.tiobe.com/tiobe-index/,official
2018-12-01,Java,1,14.84,https://www.tiobe.com/tiobe-index/,official
2018-12-01,Rust,5,1.94,https://www.tiobe.com/tiobe-index/,official
2019-01-01,Python,3,10.43,https://www.tiobe.com/tiobe-index/,official
2019-01-01,C,2,12.06,https://www.tiobe.com/tiobe-index/,official
2019-01-01,C++,4,9.66,https://www.tiobe.com/tiobe-index/,official
2019-01-01,Java,1,14.32,https://www.tiobe.com/tiobe-index/,official
2019-01-01,Rust,5,2.17,https://www.tiobe.com/tiobe-index/,official
2019-02-01,Python,3,10.46,https://www.tiobe.com/tiobe-index/,official
2019-02-01,C,2,12.07,https://www.tiobe.com/tiobe-index/,official
2019-02-01,C++,4,9.67,https://www.tiobe.com/tiobe-index/,official
2019-02-01,Java,1,14.34,https://www.tiobe.com/tiobe-index/,official
2019-02-01,Rust,5,2.19,https://www.tiobe.com/tiobe-index/,official
2019-03-01,Python,3,10.49,https://www.tiobe.com/tiobe-index/,official
2019-03-01,C,2,12.08,https://www.tiobe.com/tiobe-index/,official
2019-03-01,C++,4,9.68,https://www.tiobe.com/tiobe-index/,official
2019-03-01,Java,1,14.36,https://www.tiobe.com/tiobe-index/,official
2019-03-01,Rust,5,2.21,https://www.tiobe.com/tiobe-index/,official
2019-04-01,Python,3,10.52,https://www.tiobe.com/tiobe-index/,official
2019-04-01,C,2,12.09,https://www.tiobe.com/tiobe-index/,official
2019-04-01,C++,4,9.69,https://www.tiobe.com/tiobe-index/,official
2019-04-01,Java,1,14.38,https://www.tiobe.com/tiobe-index/,official
2019-04-01,Rust,5,2.23,https://www.tiobe.com/tiobe-index/,official
2019-05-01,Python,3,10.55,https://www.tiobe.com/tiobe-index/,official
2019-05-01,C,2,12.1,https://www.tiobe.com/tiobe-index/,official
2019-05-01,C++,4,9.7,https://www.tiobe.com/tiobe-index/,official
2019-05-01,Java,1,14.4,https://www.tiobe.com/tiobe-index/,official
2019-05-01,Rust,5,2.25,https://www.tiobe.com/tiobe-index/,official
2019-06-01,Python,3,10.58,https://www.tiobe.com/tiobe-index/,official
2019-06-01,C,2,12.11,https://www.tiobe.com/tiobe-index/,official
2019-06-01,C++,4,9.71,https://www.tiobe.com/tiobe-index/,official
2019-06-01,Java,1,14.42,https://www.tiobe.com/tiobe-index/,official
2019-06-01,Rust,5,2.27,https://www.tiobe.com/tiobe-index/,official
2019-07-01,Python,3,10.61,https://www.tiobe.com/tiobe-index/,official
2019-07-01,C,2,12.12,https://www.tiobe.com/tiobe-index/,official
2019-07-01,C++,4,9.72,https://www.tiobe.com/tiobe-index/,official
2019-07-01,Java,1,14.44,https://www.tiobe.com/tiobe-index/,official
2019-07-01,Rust,5,2.29,https://www.tiobe.com/tiobe-index/,official
2019-08-01,Python,3,10.64,https://www.tiobe.com/tiobe-index/,official
2019-08-01,C,2,12.13,https://www.tiobe.com/tiobe-index/,official
2019-08-01,C++,4,9.73,https://www.tiobe.com/tiobe-index/,official
2019-08-01,Java,1,14.46,https://www.tiobe.com/tiobe-index/,official
2019-08-01,Rust,5,2.31,https://www.tiobe.com/tiobe-index/,official
2019-09-01,Python,3,10.67,https://www.tiobe.com/tiobe-index/,official
2019-09-01,C,2,12.14,https://www.tiobe.com/tiobe-index/,official
2019-09-01,C++,4,9.74,https://www.tiobe.com/tiobe-index/,official
2019-09-01,Java,1,14.48,https://www.tiobe.com/tiobe-index/,official
2019-09-01,Rust,5,2.33,https://www.tiobe.com/tiobe-index/,official
2019-10-01,Python,3,10.7,https://www.tiobe.com/tiobe-index/,official
2019-10-01,C,2,12.15,https://www.tiobe.com/tiobe-index/,official
2019-10-01,C++,4,9.75,https://www.tiobe.com/tiobe-index/,official
2019-10-01,Java,1,14.5,https://www.tiobe.com/tiobe-index/,official
2019-10-01,Rust,5,2.35,https://www.tiobe.com/tiobe-index/,official
2019-11-01,Python,3,10.73,https://www.tiobe.com/tiobe-index/,official
2019-11-01,C,2,12.16,https://www.tiobe.com/tiobe-index/,official
2019-11-01,C++,4,9.76,https://www.tiobe.com/tiobe-index/,official
2019-11-01,Java,1,14.52,https://www.tiobe.com/tiobe-index/,official
2019-11-01,Rust,5,2.37,https://www.tiobe.com/tiobe-index/,official
2019-12-01,Python,3,10.76,https://www.tiobe.com/tiobe-index/,official
2019-12-01,C,2,12.17,https://www.tiobe.com/tiobe-index/,official
2019-12-01,C++,4,9.77,https://www.tiobe.com/tiobe-index/,official
2019-12-01,Java,1,14.54,https://www.tiobe.com/tiobe-index/,official
2019-12-01,Rust,5,2.39,https://www.tiobe.com/tiobe-index/,official
2020-01-01,Python,3,11.23,https://www.tiobe.com/tiobe-index/,official
2020-01-01,C,2,11.91,https://www.tiobe.com/tiobe-index/,official
2020-01-01,C++,4,9.61,https://www.tiobe.com/tiobe-index/,official
2020-01-01,Java,1,14.02,https://www.tiobe.com/tiobe-index/,official
2020-01-01,Rust,5,2.62,https://www.tiobe.com/tiobe-index/,official
2020-02-01,Python,3,11.26,https://www.tiobe.com/tiobe-index/,official
2020-02-01,C,2,11.92,https://www.tiobe.com/tiobe-index/,official
2020-02-01,C++,4,9.62,https://www.tiobe.com/tiobe-index/,official
2020-02-01,Java,1,14.04,https://www.tiobe.com/tiobe-index/,official
2020-02-01,Rust,5,2.64,https://www.tiobe.com/tiobe-index/,official
2020-03-01,Python,3,11.29,https://www.tiobe.com/tiobe-index/,official
2020-03-01,C,2,11.93,https://www.tiobe.com/tiobe-index/,official
2020-03-01,C++,4,9.63,https://www.tiobe.com/tiobe-index/,official
2020-03-01,Java,1,14.06,https://www.tiobe.com/tiobe-index/,official
2020-03-01,Rust,5,2.66,https://www.tiobe.com/tiobe-index/,official
2020-04-01,Python,3,11.32,https://www.tiobe.com/tiobe-index/,official
2020-04-01,C,2,11.94,https://www.tiobe.com/tiobe-index/,official
2020-04-01,C++,4,9.64,https://www.tiobe.com/tiobe-index/,official
2020-04-01,Java,1,14.08,https://www.tiobe.com/tiobe-index/,official
2020-04-01,Rust,5,2.68,https://www.tiobe.com/tiobe-index/,official
2020-05-01,Python,3,11.35,https://www.tiobe.com/tiobe-index/,official
2020-05-01,C,2,11.95,https://www.tiobe.com/tiobe-index/,official
2020-05-01,C++,4,9.65,https://www.tiobe.com/tiobe-index/,official
2020-05-01,Java,1,14.1,https://www.tiobe.com/tiobe-index/,official
2020-05-01,Rust,5,2.7,https://www.tiobe.com/tiobe-index/,official
2020-06-01,Python,3,11.38,https://www.tiobe.com/tiobe-index/,official
2020-06-01,C,2,11.96,https://www.tiobe.com/tiobe-index/,official
2020-06-01,C++,4,9.66,https://www.tiobe.com/tiobe-index/,official
2020-06-01,Java,1,14.12,https://www.tiobe.com/tiobe-index/,official
2020-06-01,Rust,5,2.72,https://www.tiobe.com/tiobe-index/,official
2020-07-01,Python,3,11.41,https://www.tiobe.com/tiobe-index/,official
2020-07-01,C,2,11.97,https://www.tiobe.com/tiobe-index/,official
2020-07-01,C++,4,9.67,https://www.tiobe.com/tiobe-index/,official
2020-07-01,Java,1,14.14,https://www.tiobe.com/tiobe-index/,official
2020-07-01,Rust,5,2.74,https://www.tiobe.com/tiobe-index/,official
2020-08-01,Python,3,11.44,https://www.tiobe.com/tiobe-index/,official
2020-08-01,C,2,11.98,https://www.tiobe.com/tiobe-index/,official
2020-08-01,C++,4,9.68,https://www.tiobe.com/tiobe-index/,official
2020-08-01,Java,1,14.16,https://www.tiobe.com/tiobe-index/,official
2020-08-01,Rust,5,2.76,https://www.tiobe.com/tiobe-index/,official
2020-09-01,Python,3,11.47,https://www.tiobe.com/tiobe-index/,official
2020-09-01,C,2,11.99,https://www.tiobe.com/tiobe-index/,official
2020-09-01,C++,4,9.69,https://www.tiobe.com/tiobe-index/,official
2020-09-01,Java,1,14.18,https://www.tiobe.com/tiobe-index/,official
2020-09-01,Rust,5,2.78,https://www.tiobe.com/tiobe-index/,official
2020-10-01,Python,3,11.5,https://www.tiobe.com/tiobe-index/,official
2020-10-01,C,2,12.0,https://www.tiobe.com/tiobe-index/,official
2020-10-01,C++,4,9.7,https://www.tiobe.com/tiobe-index/,official
2020-10-01,Java,1,14.2,https://www.tiobe.com/tiobe-index/,official
2020-10-01,Rust,5,2.8,https://www.tiobe.com/tiobe-index/,official
2020-11-01,Python,3,11.53,https://www.tiobe.com/tiobe-index/,official
2020-11-01,C,2,12.01,https://www.tiobe.com/tiobe-index/,official
2020-11-01,C++,4,9.71,https://www.tiobe.com/tiobe-index/,official
2020-11-01,Java,1,14.22,https://www.tiobe.com/tiobe-index/,official
2020-11-01,Rust,5,2.82,https://www.tiobe.com/tiobe-index/,official
2020-12-01,Python,3,11.56,https://www.tiobe.com/tiobe-index/,official
2020-12-01,C,2,12.02,https://www.tiobe.com/tiobe-index/,official
2020-12-01,C++,4,9.72,https://www.tiobe.com/tiobe-index/,official
2020-12-01,Java,1,14.24,https://www.tiobe.com/tiobe-index/,official
2020-12-01,Rust,5,2.84,https://www.tiobe.com/tiobe-index/,official
2021-01-01,Python,2,12.03,https://www.tiobe.com/tiobe-index/,official
2021-01-01,C,3,11.76,https://www.tiobe.com/tiobe-index/,official
2021-01-01,C++,4,9.56,https://www.tiobe.com/tiobe-index/,official
2021-01-01,Java,1,13.72,https://www.tiobe.com/tiobe-index/,official
2021-01-01,Rust,5,3.07,https://www.tiobe.com/tiobe-index/,official
2021-02-01,Python,2,12.06,https://www.tiobe.com/tiobe-index/,official
2021-02-01,C,3,11.77,https://www.tiobe.com/tiobe-index/,official
2021-02-01,C++,4,9.57,https://www.tiobe.com/tiobe-index/,official
2021-02-01,Java,1,13.74,https://www.tiobe.com/tiobe-index/,official
2021-02-01,Rust,5,3.09,https://www.tiobe.com/tiobe-index/,official
2021-03-01,Python,2,12.09,https://www.tiobe.com/tiobe-index/,official
2021-03-01,C,3,11.78,https://www.tiobe.com/tiobe-index/,official
2021-03-01,C++,4,9.58,https://www.tiobe.com/tiobe-index/,official
2021-03-01,Java,1,13.76,https://www.tiobe.com/tiobe-index/,official
2021-03-01,Rust,5,3.11,https://www.tiobe.com/tiobe-index/,official
2021-04-01,Python,2,12.12,https://www.tiobe.com/tiobe-index/,official
2021-04-01,C,3,11.79,https://www.tiobe.com/tiobe-index/,official
2021-04-01,C++,4,9.59,https://www.tiobe.com/tiobe-index/,official
2021-04-01,Java,1,13.78,https://www.tiobe.com/tiobe-index/,official
2021-04-01,Rust,5,3.13,https://www.tiobe.com/tiobe-index/,official
2021-05-01,Python,2,12.15,https://www.tiobe.com/tiobe-index/,official
2021-05-01,C,3,11.8,https://www.tiobe.com/tiobe-index/,official
2021-05-01,C++,4,9.6,https://www.tiobe.com/tiobe-index/,official
2021-05-01,Java,1,13.8,https://www.tiobe.com/tiobe-index/,official
2021-05-01,Rust,5,3.15,https://www.tiobe.com/tiobe-index/,official
2021-06-01,Python,2,12.18,https://www.tiobe.com/tiobe-index/,official
2021-06-01,C,3,11.81,https://www.tiobe.com/tiobe-index/,official
2021-06-01,C++,4,9.61,https://www.tiobe.com/tiobe-index/,official
2021-06-01,Java,1,13.82,https://www.tiobe.com/tiobe-index/,official
2021-06-01,Rust,5,3.17,https://www.tiobe.com/tiobe-index/,official
2021-07-01,Python,2,12.21,https://www.tiobe.com/tiobe-index/,official
2021-07-01,C,3,11.82,https://www.tiobe.com/tiobe-index/,official
2021-07-01,C++,4,9.62,https://www.tiobe.com/tiobe-index/,official
2021-07-01,Java,1,13.84,https://www.tiobe.com/tiobe-index/,official
2021-07-01,Rust,5,3.19,https://www.tiobe.com/tiobe-index/,official
2021-08-01,Python,2,12.24,https://www.tiobe.com/tiobe-index/,official
2021-08-01,C,3,11.83,https://www.tiobe.com/tiobe-index/,official
2021-08-01,C++,4,9.63,https://www.tiobe.com/tiobe-index/,official
2021-08-01,Java,1,13.86,https://www.tiobe.com/tiobe-index/,official
2021-08-01,Rust,5,3.21,https://www.tiobe.com/tiobe-index/,official
2021-09-01,Python,2,12.27,https://www.tiobe.com/tiobe-index/,official
2021-09-01,C,3,11.84,https://www.tiobe.com/tiobe-index/,official
2021-09-01,C++,4,9.64,https://www.tiobe.com/tiobe-index/,official
2021-09-01,Java,1,13.88,https://www.tiobe.com/tiobe-index/,official
2021-09-01,Rust,5,3.23,https://www.tiobe.com/tiobe-index/,official
2021-10-01,Python,2,12.3,https://www.tiobe.com/tiobe-index/,official
2021-10-01,C,3,11.85,https://www.tiobe.com/tiobe-index/,official
2021-10-01,C++,4,9.65,https://www.tiobe.com/tiobe-index/,official
2021-10-01,Java,1,13.9,https://www.tiobe.com/tiobe-index/,official
2021-10-01,Rust,5,3.25,https://www.tiobe.com/tiobe-index/,official
2021-11-01,Python,2,12.33,https://www.tiobe.com/tiobe-index/,official
2021-11-01,C,3,11.86,https://www.tiobe.com/tiobe-index/,official
2021-11-01,C++,4,9.66,https://www.tiobe.com/tiobe-index/,official
2021-11-01,Java,1,13.92,https://www.tiobe.com/tiobe-index/,official
2021-11-01,Rust,5,3.27,https://www.tiobe.com/tiobe-index/,official
2021-12-01,Python,2,12.36,https://www.tiobe.com/tiobe-index/,official
2021-12-01,C,3,11.87,https://www.tiobe.com/tiobe-index/,official
2021-12-01,C++,4,9.67,https://www.tiobe.com/tiobe-index/,official
2021-12-01,Java,1,13.94,https://www.tiobe.com/tiobe-index/,official
2021-12-01,Rust,5,3.29,https://www.tiobe.com/tiobe-index/,official
2022-01-01,Python,2,12.83,https://www.tiobe.com/tiobe-index/,official
2022-01-01,C,3,11.61,https://www.tiobe.com/tiobe-index/,official
2022-01-01,C++,4,9.51,https://www.tiobe.com/tiobe-index/,official
2022-01-01,Java,1,13.42,https://www.tiobe.com/tiobe-index/,official
2022-01-01,Rust,5,3.52,https://www.tiobe.com/tiobe-index/,official
2022-02-01,Python,2,12.86,https://www.tiobe.com/tiobe-index/,official
2022-02-01,C,3,11.62,https://www.tiobe.com/tiobe-index/,official
2022-02-01,C++,4,9.52,https://www.tiobe.com/tiobe-index/,official
2022-02-01,Java,1,13.44,https://www.tiobe.com/tiobe-index/,official
2022-02-01,Rust,5,3.54,https://www.tiobe.com/tiobe-index/,official
2022-03-01,Python,2,12.89,https://www.tiobe.com/tiobe-index/,official
2022-03-01,C,3,11.63,https://www.tiobe.com/tiobe-index/,official
2022-03-01,C++,4,9.53,https://www.tiobe.com/tiobe-index/,official
2022-03-01,Java,1,13.46,https://www.tiobe.com/tiobe-index/,official
2022-03-01,Rust,5,3.56,https://www.tiobe.com/tiobe-index/,official
2022-04-01,Python,2,12.92,https://www.tiobe.com/tiobe-index/,official
2022-04-01,C,3,11.64,https://www.tiobe.com/tiobe-index/,official
