period,publication_date,language,rank,source_url,provenance
2020-06-01,2020-06-15,Python,2,https://redmonk.com/sogrady/2020/06/lang-rank/,official
2020-06-01,2020-06-15,Java,3,https://redmonk.com/sogrady/2020/06/lang-rank/,official
2020-06-01,2020-06-15,C++,4,https://redmonk.com/sogrady/2020/06/lang-rank/,official
2020-06-01,2020-06-15,Rust,6,https://redmonk.com/sogrady/2020/06/lang-rank/,official
2021-01-01,2021-01-15,JavaScript,1,https://redmonk.com/sogrady/2021/01/lang-rank/,official
2021-01-01,2021-01-15,Python,2,https://redmonk.com/sogrady/2021/01/lang-rank/,official
2021-01-01,2021-01-15,Java,3,https://redmonk.com/sogrady/2021/01/lang-rank/,official
2021-01-01,2021-01-15,C++,4,https://redmonk.com/sogrady/2021/01/lang-rank/,official
2021-01-01,2021-01-15,Rust,4,https://redmonk.com/sogrady/2021/01/lang-rank/,official
2021-06-01,2021-06-15,JavaScript,1,https://redmonk.com/sogrady/2021/06/lang-rank/,official
2021-06-01,2021-06-15,Python,2,https://redmonk.com/sogrady/2021/06/lang-rank/,official
2021-06-01,2021-06-15,Java,3,https://redmonk.com/sogrady/2021/06/lang-rank/,official
2021-06-01,2021-06-15,C++,4,https://redmonk.com/sogrady/2021/06/lang-rank/,official
2021-06-01,2021-06-15,Rust,4,https://redmonk.com/sogrady/2021/06/lang-rank/,official
2022-01-01,2022-01-15,JavaScript,1,https://redmonk.com/sogrady/2022/01/lang-rank/,official
2022-01-01,2022-01-15,Python,2,https://redmonk.com/sogrady/2022/01/lang-rank/,official
2022-01-01,2022-01-15,Java,3,https://redmonk.com/sogrady/2022/01/lang-rank/,official
2022-01-01,2022-01-15,C++,4,https://redmonk.com/sogrady/2022/01/lang-rank/,official
2022-01-01,2022-01-15,Rust,4,https://redmonk.com/sogrady/2022/01/lang-rank/,official
2022-06-01,2022-06-15,JavaScript,1,https://redmonk.com/sogrady/2022/06/lang-rank/,official
2022-06-01,2022-06-15,Python,2,https://redmonk.com/sogrady/2022/06/lang-rank/,official
2022-06-01,2022-06-15,Java,3,https://redmonk.com/sogrady/2022/06/lang-rank/,official
2022-06-01,2022-06-15,C++,4,https://redmonk.com/sogrady/2022/06/lang-rank/,official
2022-06-01,2022-06-15,Rust,4,https://redmonk.com/sogrady/2022/06/lang-rank/,official
2023-01-01,2023-01-15,JavaScript,1,https://redmonk.com/sogrady/2023/01/lang-rank/,official
2023-01-01,2023-01-15,Python,2,https://redmonk.com/sogrady/2023/01/lang-rank/,official
2023-01-01,2023-01-15,Java,3,https://redmonk.com/sogrady/2023/01/lang-rank/,official
2023-01-01,2023-01-15,C++,4,https://redmonk.com/sogrady/2023/01/lang-rank/,official
2023-01-01,2023-01-15,Rust,4,https://redmonk.com/sogrady/2023/01/lang-rank/,official
2023-06-01,2023-06-15,JavaScript,1,https://redmonk.com/sogrady/2023/06/lang-rank/,official
2023-06-01,2023-06-15,Python,2,https://redmonk.com/sogrady/2023/06/lang-rank/,official
2023-06-01,2023-06-15,Java,3,https://redmonk.com/sogrady/2023/06/lang-rank/,official
2023-06-01,2023-06-15,C++,4,https://redmonk.com/sogrady/2023/06/lang-rank/,official
2023-06-01,2023-06-15,Rust,4,https://redmonk.com/sogrady/2023/06/lang-rank/,official
2024-01-01,2024-01-15,JavaScript,1,https://redmonk.com/sogrady/2024/01/lang-rank/,official
2024-01-01,2024-01-15,Python,2,https://redmonk.com/sogrady/2024/01/lang-rank/,official
2024-01-01,2024-01-15,Java,3,https://redmonk.com/sogrady/2024/01/lang-rank/,official
2024-01-01,2024-01-15,C++,4,https://redmonk.com/sogrady/2024/01/lang-rank/,official
2024-01-01,2024-01-15,Rust,4,https://redmonk.com/sogrady/2024/01/lang-rank/,official
2024-06-01,2024-06-15,JavaScript,1,https://redmonk.com/sogrady/2024/06/lang-rank/,official
2024-06-01,2024-06-15,Python,2,https://redmonk.com/sogrady/2024/06/lang-rank/,official
2024-06-01,2024-06-15,Java,3,https://redmonk.com/sogrady/2024/06/lang-rank/,official
2024-06-01,2024-06-15,C++,4,https://redmonk.com/sogrady/2024/06/lang-rank/,official
2024-06-01,2024-06-15,Rust,4,https://redmonk.com/sogrady/2024/06/lang-rank/,official
2025-01-01,2025-01-15,JavaScript,1,https://redmonk.com/sogrady/2025/01/lang-rank/,official
2025-01-01,2025-01-15,Python,2,https://redmonk.com/sogrady/2025/01/lang-rank/,official
2025-01-01,2025-01-15,Java,3,https://redmonk.com/sogrady/2025/01/lang-rank/,official
2025-01-01,2025-01-15,C++,4,https://redmonk.com/sogrady/2025/01/lang-rank/,official
2025-01-01,2025-01-15,Rust,4,https://redmonk.com/sogrady/2025/01/lang-rank/,official
2025-06-01,2025-06-15,JavaScript,1,https://redmonk.com/sogrady/2025/06/lang-rank/,official
2025-06-01,2025-06-15,Python,2,https://redmonk.com/sogrady/2025/06/lang-rank/,official
2025-06-01,2025-06-15,Java,3,https://redmonk.com/sogrady/2025/06/lang-rank/,official
2025-06-01,2025-06-15,C++,4,https://redmonk.com/sogrady/2025/06/lang-rank/,official
2025-06-01,2025-06-15,Rust,4,https://redmonk.com/sogrady/2025/06/lang-rank/,official
